lat,lon,elevation
41.0366875,28.9855868,87.0
41.0357065,28.9847485,80.0
41.0356949,28.9847957,80.0
41.0354722,28.985704,87.0
41.0354267,28.9857938,87.0
41.0335993,28.9870816,57.0
41.0330206,28.9876896,19.0
41.0326934,28.9880087,19.0
41.0322088,28.9885074,19.0
41.0321078,28.9886116,19.0
41.0315605,28.9892698,19.0
41.0312176,28.9890283,13.0
41.0281417,28.9841537,0.0
41.0274732,28.9818905,30.0
41.0271675,28.9809811,25.0
41.0269282,28.9803379,9.0
41.0266035,28.9797067,9.0
41.0265074,28.9795053,9.0
41.0263798,28.9792583,9.0
41.0253589,28.977516,15.0
41.0244983,28.9763654,11.0
41.024173,28.975931,11.0
41.024047,28.9757744,11.0
41.0234095,28.9750815,11.0
41.0231126,28.9749517,32.0
41.0226632,28.9747976,3.0
41.0223516,28.9746828,3.0
41.0182562,28.9717712,1.0
41.017432,28.9722579,1.0
41.0163921,28.9762573,13.0
41.0163155,28.9765748,13.0
41.0161957,28.9770256,13.0
41.0161181,28.9772946,7.0
41.0159725,28.9782503,7.0
41.0164388,28.9846963,19.0
41.0163396,28.9854518,14.0
41.0162804,28.9855948,14.0
41.00429,28.9826422,10.0
41.0038492,28.9822133,0.0
41.0040168,28.9818814,0.0
41.0034432,28.9812397,12.0
41.0032373,28.979591,12.0
41.0035403,28.979262,12.0
41.0047875,28.9808042,24.0
41.0050957,28.9803598,24.0
41.0053456,28.9799819,24.0
41.0058118,28.9805593,24.0
41.0062559,28.9811167,36.0
41.0065085,28.9807645,36.0
41.0073039,28.9815959,28.0
41.0077879,28.9814856,28.0
41.0082035,28.9808254,36.0
